UserID,UTC_Timestamp,SA_Timestamp,View_Year,View_Month,View_Month_Num,View_Day,View_Day_Num,Channel,Duration_Start,Duration_Minutes,Age,Age_Group,Gender,Race,Province,Day_classification
940827,2016-03-31T17:49:00.000Z,2016-03-31T19:49:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:13.000Z,42459,27,25-34,female,black,Gauteng,Weekday
988056,2016-03-31T17:35:00.000Z,2016-03-31T19:35:00.000Z,2016,Mar,3,Thu,5,E! Entertainment,1899-12-31T00:00:00.000Z,42459,32,25-34,female,None,Western Cape,Weekday
941303,2016-03-31T17:29:00.000Z,2016-03-31T19:29:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:02.000Z,42459,36,35-44,male,black,Eastern Cape,Weekday
940827,2016-03-31T16:55:00.000Z,2016-03-31T18:55:00.000Z,2016,Mar,3,Thu,5,Vuzu,1899-12-31T00:00:35.500Z,42459,27,25-34,female,black,Gauteng,Weekday
930671,2016-03-31T16:39:00.000Z,2016-03-31T18:39:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:00:12.000Z,42459,44,35-44,male,indian_asian,Gauteng,Weekday
930625,2016-03-31T16:38:00.000Z,2016-03-31T18:38:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:22:12.000Z,42459,33,25-34,male,indian_asian,Gauteng,Weekday
939719,2016-03-31T16:36:00.000Z,2016-03-31T18:36:00.000Z,2016,Mar,3,Thu,5,Vuzu,1899-12-31T00:02:11.500Z,42459,28,25-34,male,white,Kwazulu Natal,Weekday
809056,2016-03-31T16:33:00.000Z,2016-03-31T18:33:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:01:10.000Z,42459,43,35-44,male,coloured,Western Cape,Weekday
893520,2016-03-31T16:04:00.000Z,2016-03-31T18:04:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:01:09.000Z,42459,40,35-44,female,white,Eastern Cape,Weekday
930672,2016-03-31T15:43:00.000Z,2016-03-31T17:43:00.000Z,2016,Mar,3,Thu,5,SuperSport Blitz,1899-12-31T00:02:00.000Z,42459,48,45-54,male,indian_asian,Limpopo,Weekday
941622,2016-03-31T15:41:00.000Z,2016-03-31T17:41:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:10.000Z,42459,38,35-44,female,white,Gauteng,Weekday
941545,2016-03-31T15:27:00.000Z,2016-03-31T17:27:00.000Z,2016,Mar,3,Thu,5,M-Net,1899-12-31T00:02:26.000Z,42459,40,35-44,male,black,Free State,Weekday
723531,2016-03-31T15:25:00.000Z,2016-03-31T17:25:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:00:00.000Z,42459,0,Under 18,None,None,None,Weekday
1107471,2016-03-31T15:23:00.000Z,2016-03-31T17:23:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:00:14.000Z,42459,27,25-34,male,coloured,Western Cape,Weekday
821233,2016-03-31T15:17:00.000Z,2016-03-31T17:17:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:00.000Z,42459,27,25-34,male,coloured,Western Cape,Weekday
941545,2016-03-31T15:16:00.000Z,2016-03-31T17:16:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:10.000Z,42459,40,35-44,male,black,Free State,Weekday
931546,2016-03-31T15:15:00.000Z,2016-03-31T17:15:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:04:36.000Z,42459,26,25-34,male,indian_asian,North West,Weekday
778959,2016-03-31T15:14:00.000Z,2016-03-31T17:14:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:11.500Z,42459,20,18-24,male,black,Gauteng,Weekday
941545,2016-03-31T15:14:00.000Z,2016-03-31T17:14:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:00:21.000Z,42459,40,35-44,male,black,Free State,Weekday
940611,2016-03-31T14:57:00.000Z,2016-03-31T16:57:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:00:12.000Z,42459,29,25-34,male,black,Gauteng,Weekday
930191,2016-03-31T14:57:00.000Z,2016-03-31T16:57:00.000Z,2016,Mar,3,Thu,5,ICC Cricket World Cup 2011,1899-12-31T00:00:34.000Z,42459,22,18-24,female,indian_asian,Kwazulu Natal,Weekday
1109161,2016-03-31T14:53:00.000Z,2016-03-31T16:53:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:05:30.000Z,42459,34,25-34,male,indian_asian,Kwazulu Natal,Weekday
803542,2016-03-31T14:52:00.000Z,2016-03-31T16:52:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:29:03.000Z,42459,36,35-44,male,indian_asian,Kwazulu Natal,Weekday
778959,2016-03-31T14:51:00.000Z,2016-03-31T16:51:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:32:45.000Z,42459,20,18-24,male,black,Gauteng,Weekday
908568,2016-03-31T14:36:00.000Z,2016-03-31T16:36:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:00:19.000Z,42459,41,35-44,male,black,Gauteng,Weekday
940030,2016-03-31T14:34:00.000Z,2016-03-31T16:34:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:00:00.000Z,42459,25,25-34,male,black,Gauteng,Weekday
2091280,2016-03-31T14:17:00.000Z,2016-03-31T16:17:00.000Z,2016,Mar,3,Thu,5,Vuzu,1899-12-31T00:02:57.500Z,42459,22,18-24,male,black,Gauteng,Weekday
750418,2016-03-31T13:42:00.000Z,2016-03-31T15:42:00.000Z,2016,Mar,3,Thu,5,E! Entertainment,1899-12-31T00:00:00.000Z,42459,55,55+,male,coloured,Western Cape,Weekday
778959,2016-03-31T13:39:00.000Z,2016-03-31T15:39:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:32:24.000Z,42459,20,18-24,male,black,Gauteng,Weekday
2255463,2016-03-31T13:17:00.000Z,2016-03-31T15:17:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:54.000Z,42459,43,35-44,male,black,Gauteng,Weekday
920698,2016-03-31T13:13:00.000Z,2016-03-31T15:13:00.000Z,2016,Mar,3,Thu,5,SuperSport Blitz,1899-12-31T00:00:00.000Z,42459,32,25-34,male,indian_asian,Gauteng,Weekday
941003,2016-03-31T13:09:00.000Z,2016-03-31T15:09:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:00.000Z,42459,24,18-24,male,black,Gauteng,Weekday
941502,2016-03-31T13:09:00.000Z,2016-03-31T15:09:00.000Z,2016,Mar,3,Thu,5,Supersport Live Events,1899-12-31T00:01:02.000Z,42459,57,55+,male,None,Mpumalanga,Weekday
892133,2016-03-31T13:02:00.000Z,2016-03-31T15:02:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:00.000Z,42459,31,25-34,male,black,Western Cape,Weekday
940434,2016-03-31T12:59:00.000Z,2016-03-31T14:59:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:00.000Z,42459,21,18-24,male,coloured,Western Cape,Weekday
820751,2016-03-31T12:49:00.000Z,2016-03-31T14:49:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:08.000Z,42459,28,25-34,male,coloured,Eastern Cape,Weekday
810579,2016-03-31T12:37:00.000Z,2016-03-31T14:37:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:08:54.000Z,42459,50,45-54,male,None,Western Cape,Weekday
939819,2016-03-31T12:29:00.000Z,2016-03-31T14:29:00.000Z,2016,Mar,3,Thu,5,ICC Cricket World Cup 2011,1899-12-31T00:00:24.000Z,42459,27,25-34,male,indian_asian,Kwazulu Natal,Weekday
788562,2016-03-31T12:29:00.000Z,2016-03-31T14:29:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:08:39.000Z,42459,41,35-44,male,None,Gauteng,Weekday
930826,2016-03-31T12:06:00.000Z,2016-03-31T14:06:00.000Z,2016,Mar,3,Thu,5,SuperSport Blitz,1899-12-31T00:01:10.000Z,42459,38,35-44,male,indian_asian,Gauteng,Weekday
939982,2016-03-31T11:57:00.000Z,2016-03-31T13:57:00.000Z,2016,Mar,3,Thu,5,MK,1899-12-31T00:02:14.000Z,42459,46,45-54,male,black,Kwazulu Natal,Weekday
931362,2016-03-31T11:48:00.000Z,2016-03-31T13:48:00.000Z,2016,Mar,3,Thu,5,E! Entertainment,1899-12-31T00:00:18.000Z,42459,29,25-34,male,indian_asian,Limpopo,Weekday
163109,2016-03-31T11:41:00.000Z,2016-03-31T13:41:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:02:51.000Z,42459,21,18-24,male,None,Western Cape,Weekday
666034,2016-03-31T11:40:00.000Z,2016-03-31T13:40:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:00:00.000Z,42459,36,35-44,male,white,Free State,Weekday
931362,2016-03-31T11:35:00.000Z,2016-03-31T13:35:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:00:12.000Z,42459,29,25-34,male,indian_asian,Limpopo,Weekday
573660,2016-03-31T11:31:00.000Z,2016-03-31T13:31:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:04:12.000Z,42459,0,Under 18,None,None,None,Weekday
2000422,2016-03-31T11:19:00.000Z,2016-03-31T13:19:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:01:17.500Z,42459,39,35-44,male,black,Western Cape,Weekday
940967,2016-03-31T10:52:00.000Z,2016-03-31T12:52:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:01:15.000Z,42459,31,25-34,male,indian_asian,Gauteng,Weekday
892465,2016-03-31T10:45:00.000Z,2016-03-31T12:45:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:08.000Z,42459,36,35-44,male,black,Gauteng,Weekday
788562,2016-03-31T10:43:00.000Z,2016-03-31T12:43:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:03:09.000Z,42459,41,35-44,male,None,Gauteng,Weekday
931433,2016-03-31T10:32:00.000Z,2016-03-31T12:32:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:11:39.000Z,42459,36,35-44,male,indian_asian,Western Cape,Weekday
931297,2016-03-31T10:23:00.000Z,2016-03-31T12:23:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:04:00.000Z,42459,27,25-34,male,indian_asian,Limpopo,Weekday
930312,2016-03-31T10:10:00.000Z,2016-03-31T12:10:00.000Z,2016,Mar,3,Thu,5,ICC Cricket World Cup 2011,1899-12-31T00:01:24.000Z,42459,24,18-24,male,indian_asian,Limpopo,Weekday
819248,2016-03-31T10:01:00.000Z,2016-03-31T12:01:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:04:45.000Z,42459,0,Under 18,None,None,None,Weekday
778959,2016-03-31T09:58:00.000Z,2016-03-31T11:58:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:00:32.000Z,42459,20,18-24,male,black,Gauteng,Weekday
930123,2016-03-31T09:49:00.000Z,2016-03-31T11:49:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:00:57.000Z,42459,31,25-34,male,indian_asian,Gauteng,Weekday
220098,2016-03-31T09:28:00.000Z,2016-03-31T11:28:00.000Z,2016,Mar,3,Thu,5,E! Entertainment,1899-12-31T00:00:40.000Z,42459,21,18-24,male,white,Eastern Cape,Weekday
866901,2016-03-31T09:25:00.000Z,2016-03-31T11:25:00.000Z,2016,Mar,3,Thu,5,SuperSport Blitz,1899-12-31T00:10:06.000Z,42459,39,35-44,male,white,Gauteng,Weekday
929723,2016-03-31T08:34:00.000Z,2016-03-31T10:34:00.000Z,2016,Mar,3,Thu,5,SuperSport Blitz,1899-12-31T00:01:48.000Z,42459,27,25-34,male,indian_asian,Western Cape,Weekday
810151,2016-03-31T08:15:00.000Z,2016-03-31T10:15:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:01:49.000Z,42459,28,25-34,male,black,Eastern Cape,Weekday
930015,2016-03-31T08:09:00.000Z,2016-03-31T10:09:00.000Z,2016,Mar,3,Thu,5,kykNET,1899-12-31T00:08:21.000Z,42459,19,18-24,male,indian_asian,Western Cape,Weekday
904274,2016-03-31T08:04:00.000Z,2016-03-31T10:04:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:44.500Z,42459,23,18-24,male,None,Gauteng,Weekday
2259956,2016-03-31T07:57:00.000Z,2016-03-31T09:57:00.000Z,2016,Mar,3,Thu,5,ICC Cricket World Cup 2011,1899-12-31T00:00:22.000Z,42459,39,35-44,male,black,Gauteng,Weekday
940937,2016-03-31T06:48:00.000Z,2016-03-31T08:48:00.000Z,2016,Mar,3,Thu,5,E! Entertainment,1899-12-31T00:00:42.000Z,42459,30,25-34,male,white,Western Cape,Weekday
931362,2016-03-31T06:41:00.000Z,2016-03-31T08:41:00.000Z,2016,Mar,3,Thu,5,E! Entertainment,1899-12-31T00:00:10.000Z,42459,29,25-34,male,indian_asian,Limpopo,Weekday
940434,2016-03-31T06:40:00.000Z,2016-03-31T08:40:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:00.000Z,42459,21,18-24,male,coloured,Western Cape,Weekday
